#{"t_start": 1615654246.0842369, "env_id": "MountainCarContinuous-v0"}
r,l,t
94.351717,81,820.116241
92.565769,103,821.753138
93.592546,76,822.857566
92.586623,102,825.344106
93.86475,72,826.600618
91.857335,96,828.379519
91.293808,125,830.524639
93.713864,74,831.602628
93.06783,107,833.448359
91.406455,103,835.711812
94.163901,75,836.941135
94.019848,78,838.083218
94.215652,96,839.959753
93.633863,77,841.893246
94.392628,83,843.110591
91.817193,119,845.481819
92.064269,99,847.250248
93.710021,113,849.426098
93.29417,83,850.658906
94.251287,80,852.434264
93.742821,73,853.547721
93.463235,77,855.156245
92.093772,100,856.906846
93.641271,72,858.167802
93.878318,78,859.379666
91.841135,108,861.815403
93.21134,102,863.679487
88.769579,157,866.509265
93.944464,74,867.671467
93.791304,82,869.422436
94.143728,73,870.539888
93.862029,80,871.614152
93.895788,74,873.387079
93.684466,73,874.542559
93.557927,77,875.659668
93.958874,76,877.281244
94.077343,71,878.563476
93.970003,75,879.686505
93.977575,73,881.413524
93.698626,77,882.579287
94.516736,84,884.246065
94.324343,76,885.546053
93.854238,74,886.759208
93.917463,73,888.430413
93.218839,78,889.523899
89.369687,166,892.432948
92.780961,110,894.681548
94.187872,71,895.853172
89.781822,140,898.223064
92.357438,106,900.542197
93.987447,71,901.765476
93.908148,67,903.032856
94.155598,74,904.129071
93.925164,79,905.937849
93.590359,79,907.04335
93.801089,73,908.147372
93.407981,73,909.855761
93.30482,85,911.079243
93.347338,76,912.844515
93.99367,80,913.975907
86.901845,184,917.212714
93.342173,77,918.339956
94.530572,71,919.945374
94.181885,81,921.035452
93.844336,70,922.235598
90.697469,129,924.577081
93.139755,73,926.181989
93.82323,72,927.291762
94.408286,73,928.511093
94.077646,74,930.161246
93.344251,69,931.4383
93.647591,70,932.544518
93.788696,90,934.182443
93.943486,72,935.325055
93.987167,78,936.730482
93.676988,69,938.449152
94.019422,73,939.691344
94.296301,70,940.804323
94.555728,81,942.589176
94.056878,78,943.81755
94.07442,71,945.110652
93.687926,73,946.218695
93.92875,74,947.92459
94.357731,73,949.226861
93.272768,77,950.45208
93.77153,74,952.059841
93.86408,70,953.183977
94.158221,82,954.942421
93.901074,70,956.290262
94.31504,71,957.367332
94.90595,75,958.521234
93.68212,80,960.11372
92.656742,94,961.847115
90.98271,115,963.487684
93.177704,76,965.087655
93.558146,80,966.236925
93.688019,72,967.414189
93.511035,79,969.192502
94.236255,72,970.365147
94.150718,69,971.600224
93.515063,72,973.458179
94.350548,74,974.711269
93.87947,76,975.839897
94.442148,74,977.429109
94.955538,81,978.664986
93.347603,80,980.390296
93.561302,79,981.496702
92.945643,94,983.147941
94.314093,70,984.3613
93.313624,81,985.979139
94.038741,68,987.084586
93.779336,72,988.18303
93.491683,73,989.394279
93.825635,71,991.093676
93.649652,69,992.249322
94.122724,72,993.520105
94.457275,73,994.731792
94.164825,72,996.276937
94.418399,83,997.415932
91.072865,145,1000.216362
93.416259,74,1001.38511
93.16288,87,1003.216597
93.62579,77,1004.319453
