#{"t_start": 1615652570.2472315, "env_id": "BipedalWalker-v3"}
r,l,t
292.93771,1067,2682.153242
293.661298,1025,2695.487478
297.340037,1000,2708.451803
293.97971,1047,2721.970756
139.591255,796,2733.444984
182.696861,940,2745.30694
295.577876,999,2758.612838
23.940337,390,2763.635039
297.153056,938,2776.076249
296.694764,907,2787.562299
298.261303,927,2799.20534
297.769088,932,2812.164991
300.08523,874,2824.076097
302.297076,900,2835.657885
301.666942,888,2846.264202
300.187881,883,2857.901147
-57.65724,176,2860.319747
297.163876,865,2872.036331
55.104935,494,2878.010217
300.378669,857,2889.586615
-44.159477,210,2892.032622
300.196655,847,2902.826367
302.146882,855,2914.715529
300.126947,859,2925.607161
299.339294,893,2937.412879
301.207902,875,2948.784619
301.459204,832,2959.410299
300.844498,862,2970.201622
303.051893,846,2981.436293
304.738394,847,2993.006015
305.077381,859,3004.542727
304.283358,861,3015.250265
306.666862,859,3026.825384
305.069759,804,3037.226686
306.773166,834,3048.623633
303.3725,854,3060.288763
306.242709,822,3071.174099
308.004034,833,3082.255316
306.121015,815,3092.178694
67.087877,499,3098.754751
307.056854,834,3109.810976
306.547004,812,3120.489867
306.433992,845,3131.232512
307.072007,808,3142.202821
306.098381,825,3153.158097
92.004915,586,3160.83484
309.772418,801,3170.880317
307.735371,802,3181.46938
306.050928,819,3192.25879
307.964521,800,3202.221833
307.137602,821,3212.72468
307.897632,811,3223.421273
309.681396,809,3233.783001
301.075009,805,3244.909722
307.76073,803,3254.816271
306.834615,783,3265.428541
308.880871,772,3275.350038
307.829882,807,3285.601339
308.052847,799,3296.165754
309.150104,795,3306.190512
306.299557,790,3316.196193
311.281464,779,3326.769704
309.961629,782,3337.411735
309.260222,805,3347.463439
310.521285,782,3358.175921
310.161283,770,3368.518552
312.511645,790,3378.647947
311.475714,800,3389.286075
310.52248,784,3399.101109
308.059882,804,3409.380296
307.719378,801,3420.106308
311.309755,757,3430.218114
309.887357,797,3440.368025
310.912998,781,3450.36617
308.751817,757,3460.291714
312.517482,756,3470.275172
311.437995,753,3480.127785
311.247812,762,3490.210653
93.496931,532,3496.718271
312.270483,754,3506.70893
-74.180071,148,3508.336251
193.720937,749,3518.180383
311.964559,777,3528.396715
310.568369,768,3538.440922
309.93186,780,3548.430332
309.217567,801,3559.09439
310.924128,792,3569.195851
310.955172,778,3579.071751
311.317243,773,3589.291341
305.945992,774,3599.060929
309.144926,777,3608.938528
310.193638,781,3619.668044
310.150057,801,3629.608994
309.458038,800,3640.594565
311.684922,801,3650.924214
312.867183,800,3661.569537
311.347887,787,3671.395556
311.653874,799,3681.212734
305.66365,773,3691.910209
308.935805,769,3702.044787
76.470064,490,3707.900573
307.471589,771,3717.984571
313.12945,787,3728.595954
66.881478,486,3734.698686
311.121394,768,3744.640943
18.196464,337,3749.216943
307.16823,788,3760.412542
312.828369,786,3770.529384
173.973404,726,3779.808221
312.471443,773,3789.838191
311.29719,805,3801.108925
311.348834,773,3811.194669
314.394434,768,3821.087792
312.503767,781,3831.070862
312.348662,810,3842.08425
310.653437,780,3852.176107
312.074632,772,3861.969938
312.487758,805,3872.757409
312.469579,781,3883.163432
161.500947,688,3892.154154
313.610902,771,3902.175454
312.358503,745,3911.349593
311.469439,757,3921.512493
313.967992,779,3931.480841
194.078753,769,3941.450556
314.669974,780,3952.349479
314.48902,769,3962.519146
314.402345,777,3973.029633
313.478005,789,3983.08007
312.8961,773,3993.029118
316.273072,775,4003.331505
72.547707,453,4009.507862
124.652129,550,4017.378811
122.630964,568,4024.68914
145.289158,606,4032.365722
314.675917,779,4042.301759
314.116375,771,4053.444889
315.489706,786,4063.424318
313.0991,789,4073.394787
313.351927,764,4083.312311
314.758118,760,4093.470532
314.412683,779,4103.791677
314.272877,752,4113.637728
-42.341829,196,4116.140087
13.337418,333,4120.368113
181.438536,729,4130.291579
-32.216217,241,4132.805257
190.950167,711,4141.959192
310.940201,757,4151.730578
314.384296,744,4161.595565
310.890846,778,4171.502738
315.427177,767,4181.426472
310.950228,763,4191.432678
313.862564,765,4201.367062
313.916152,763,4211.158807
123.624182,560,4218.542284
314.933603,784,4228.858174
313.489639,757,4238.801857
313.447078,770,4248.506109
313.959828,767,4258.539626
41.351457,375,4262.809534
313.166398,752,4272.950822
314.055476,766,4282.768275
314.950547,781,4292.711795
315.791245,766,4302.988188
315.246855,768,4313.33977
315.301057,768,4323.081658
116.92267,546,4330.454347
316.414584,767,4340.439193
315.176094,763,4350.584059
315.318214,763,4360.844968
317.745551,765,4370.672958
313.39746,777,4380.904663
315.869423,791,4390.976434
314.986756,773,4401.116521
314.588672,752,4410.824162
317.134725,766,4420.653203
316.234287,740,4430.376787
314.543673,771,4440.544844
315.78869,769,4450.616938
315.795648,768,4460.541226
315.740835,753,4469.866069
316.850711,771,4479.927228
86.09997,488,4486.543106
315.16259,760,4496.467721
316.463531,758,4506.34164
316.270553,768,4516.359975
315.985899,758,4526.83805
315.120295,751,4536.096577
315.994053,757,4545.881738
317.816841,763,4555.698661
316.642157,774,4565.653312
316.380228,780,4575.996585
315.929319,754,4586.086525
314.836944,762,4595.957778
316.580691,755,4606.127535
317.080133,778,4616.512964
171.275542,685,4625.608372
108.008239,551,4632.166087
317.35033,765,4642.042241
319.481064,769,4652.061154
318.214029,759,4662.01943
316.093978,777,4671.924826
317.482684,775,4681.620892
318.48409,761,4691.834314
318.196858,765,4701.844366
320.149962,763,4711.569721
314.730945,769,4721.468738
318.856333,762,4731.350855
318.661757,750,4741.026694
316.83811,752,4750.942765
317.617816,762,4759.968676
317.203739,764,4769.991391
319.66578,748,4780.118035
316.060185,749,4790.192075
314.651466,777,4799.967638
-26.13744,243,4803.299791
315.960482,759,4813.021988
317.820276,754,4822.370921
315.259003,764,4832.320927
318.853926,745,4842.228016
317.958058,745,4852.331156
-61.325688,162,4854.026752
317.969523,780,4863.995962
318.069156,738,4874.279995
22.557463,335,4878.370852
317.845754,750,4888.209378
-79.977689,117,4889.849313
317.831096,758,4899.21378
317.772208,756,4909.260216
319.507087,744,4919.06925
318.225522,758,4929.026088
317.877608,748,4938.259888
317.428163,735,4948.252555
-38.582144,205,4950.879004
319.392564,767,4960.60978
318.541399,739,4970.484788
316.727245,745,4979.510975
16.55476,380,4984.516011
318.948295,739,4994.246219
319.377799,747,5003.645527
317.000415,743,5013.544291
316.993282,749,5023.640394
317.885411,784,5033.906274
319.685619,759,5044.138964
319.870856,755,5053.947317
319.487955,779,5063.758726
318.939359,759,5074.043499
315.6989,771,5083.912385
318.365575,739,5092.93285
318.985786,764,5102.812608
319.399166,750,5113.108413
318.428533,743,5123.487116
319.283922,745,5132.809241
317.045275,746,5142.711392
319.714517,740,5152.24854
319.381408,744,5162.074875
317.327264,764,5171.878197
320.010495,735,5181.148108
315.844833,750,5190.915946
319.298827,772,5201.105738
319.080314,744,5211.411181
65.319387,464,5217.113875
319.853972,724,5226.300443
317.642157,737,5235.936719
316.84836,759,5245.745062
317.492529,740,5255.044772
316.580226,753,5264.865086
318.544693,754,5274.95312
317.994742,739,5284.080983
317.008443,737,5293.932051
316.895936,740,5303.637088
317.155226,732,5312.738128
317.347493,755,5322.748485
317.651089,740,5332.014611
316.925994,711,5341.077058
316.957679,737,5351.031784
317.937515,754,5360.78342
315.501358,731,5370.090674
317.632177,736,5380.297977
318.713095,739,5389.472664
317.957536,745,5399.403999
316.880126,734,5408.471828
316.899131,736,5418.411019
319.403336,741,5427.508851
64.843098,464,5434.189627
319.052929,719,5443.433861
21.113663,331,5447.691426
319.480207,724,5457.232542
319.263111,726,5467.248508
319.149322,728,5476.559795
319.149765,739,5486.390217
319.37986,711,5495.77428
317.967701,734,5504.904574
319.596092,737,5515.334483
319.0102,739,5524.47092
317.247303,729,5534.27138
316.515877,759,5544.070847
316.928896,747,5553.044663
319.326837,722,5562.200784
318.983392,725,5572.318945
319.089501,732,5581.577503
320.707555,735,5591.355209
318.982744,714,5600.358987
318.502685,741,5609.519387
319.501948,729,5619.76242
320.64946,730,5629.247408
317.951039,742,5639.332767
317.268883,735,5648.752052
319.681087,724,5658.487246
317.868094,728,5667.797005
320.277753,719,5676.855867
320.07049,719,5686.537184
319.325781,727,5695.506523
317.260813,716,5704.394254
318.536038,723,5713.397117
152.726218,617,5721.845056
319.167157,734,5731.003253
318.837962,724,5740.972133
319.202083,720,5750.240986
319.948128,723,5759.18854
318.052199,733,5768.89745
320.110948,738,5778.041332
319.027,734,5787.976496
321.119152,722,5797.415396
319.550487,725,5806.730687
319.935961,721,5816.956967
320.586923,726,5826.445739
318.119944,733,5835.684872
317.06654,716,5845.690823
318.063021,718,5855.199288
317.546878,721,5864.224944
317.522314,724,5873.781815
318.221764,725,5884.041311
317.957947,741,5893.752572
318.074516,713,5902.755262
316.693966,739,5912.652617
318.309099,728,5922.121386
16.917575,318,5926.181511
318.196074,743,5936.273411
317.632566,715,5945.257112
319.556227,716,5954.334796
319.28734,697,5963.350217
318.623631,720,5972.708543
317.61121,716,5982.97446
318.922142,725,5992.180548
320.068846,723,6001.25187
318.837421,723,6011.021876
318.304877,708,6020.129277
318.14922,702,6029.062221
317.869192,715,6038.111008
320.649892,695,6047.081537
317.031701,713,6056.313112
320.056447,706,6065.381066
318.945834,736,6074.537476
319.621399,735,6084.586275
320.077508,724,6094.020185
319.999857,723,6103.348337
163.090419,616,6111.909848
318.683648,716,6120.990402
320.048859,713,6130.333062
135.58157,581,6138.221078
319.597363,724,6148.158319
321.622365,715,6157.517244
319.13358,713,6166.478102
316.746789,716,6175.700778
319.365861,727,6185.448696
319.954689,720,6194.842728
320.29071,724,6203.817606
319.349728,698,6212.950286
320.899055,710,6222.490422
318.577215,721,6231.704051
318.76758,725,6241.731455
318.430486,738,6250.734087
318.629892,734,6260.642448
