#{"t_start": 1615665858.4029202, "env_id": "BipedalWalker-v3"}
r,l,t
321.010681,733,1597.36922
321.087684,739,1606.649879
320.791157,741,1616.575297
-102.218037,68,1617.402609
-90.623593,95,1619.016833
-141.998674,270,1622.472375
321.460297,721,1631.979773
36.835603,367,1637.19418
322.323093,720,1646.486535
322.437045,711,1655.797081
321.476932,719,1665.72545
321.94459,734,1676.468645
323.351466,715,1685.71368
321.973917,720,1695.012572
323.768062,715,1704.503096
-129.35128,98,1706.209938
321.60956,721,1716.040491
322.813667,722,1725.878398
321.880206,731,1736.33782
-94.570974,89,1737.201733
320.8049,741,1747.636266
321.66213,712,1757.383544
322.810383,714,1766.495013
322.618986,720,1775.803409
322.619729,728,1785.944962
323.156525,708,1795.637527
321.768567,723,1804.997163
-92.827907,91,1806.591217
126.963146,572,1813.967124
322.591387,719,1823.109556
321.938111,729,1832.534392
322.301913,713,1842.262412
-134.713089,203,1844.754877
321.727793,731,1854.675383
-133.527075,158,1856.337593
323.403226,721,1866.581111
322.945878,728,1875.729565
-106.173018,137,1877.403684
322.675007,717,1886.715105
322.471762,710,1895.860587
-137.287789,100,1897.493008
-104.446855,114,1899.122827
317.99661,838,1910.261426
-132.644684,143,1911.902497
320.949338,728,1921.62836
-73.498823,1600,1942.539442
-122.492462,85,1944.098431
-101.462605,157,1945.751302
-109.026866,55,1946.547538
-8.694846,972,1959.190171
-81.562808,1600,1980.544329
-68.906217,1600,2001.935028
-76.141083,1600,2023.18423
-71.011538,1600,2044.069975
-74.40154,1600,2065.467204
-156.051955,1342,2083.197413
-124.141289,894,2095.336476
-67.842066,1600,2116.018592
-79.37121,1600,2137.165668
-181.195127,1243,2154.386212
-63.838517,1600,2174.931976
-66.01847,1600,2196.143223
-69.919412,1600,2217.226124
-149.859968,657,2225.666105
-70.308084,1600,2246.57044
-78.171722,1600,2268.185766
-78.353055,1600,2288.891565
-118.247673,55,2289.695637
-191.718477,1595,2310.834185
-119.299137,344,2314.955253
17.916343,1600,2336.365543
-125.164442,86,2337.198927
308.14342,989,2350.452514
-132.029855,175,2353.256594
-75.683875,1600,2375.102058
-84.360596,1600,2397.521709
322.270798,723,2406.888
-77.995947,1600,2427.972895
27.085811,1600,2449.237516
-82.50203,1600,2470.442551
300.150494,1187,2485.958256
302.862072,1189,2502.130477
-72.919958,1600,2524.067842
279.270104,1565,2544.51755
-72.883849,1600,2566.267663
-125.503492,86,2567.840692
-162.160212,611,2575.579984
-71.29925,1600,2596.564958
-108.208012,59,2597.394294
-79.373234,1600,2618.773375
-199.132308,1514,2638.909512
-74.364536,1600,2659.789676
-130.197828,295,2663.941837
-144.399768,389,2669.083142
-73.780725,1600,2689.767715
-173.845468,1114,2703.99068
-61.856843,1600,2724.724152
94.713697,1600,2746.067352
321.409849,739,2756.007923
-78.865505,1600,2777.702415
-189.709226,1557,2798.033818
-119.630782,64,2798.884631
250.859168,1600,2820.260747
-82.520597,1600,2841.036881
-161.399705,738,2850.462705
-66.061116,1600,2871.48396
-164.505255,1509,2891.628761
-71.725163,1600,2913.348431
-72.571096,1600,2934.564946
-154.397034,557,2942.06295
-70.277852,1600,2963.817258
200.832396,1600,2985.657504
300.675433,1243,3002.110603
-82.033176,1600,3024.112212
-89.299832,1600,3045.012762
-167.472967,817,3055.703672
322.296633,715,3065.572195
321.074322,723,3075.274876
-78.492853,110,3077.004978
321.635281,716,3087.018471
321.842895,716,3096.172586
321.718556,731,3106.352854
321.575693,714,3115.62534
322.513181,707,3125.42714
321.657644,724,3134.79548
322.825397,717,3144.815296
-28.164225,219,3147.327278
322.140542,709,3156.880572
321.709308,724,3166.184201
322.188859,706,3175.445972
321.789726,707,3185.373965
-120.919842,690,3194.148377
322.942488,719,3204.57748
322.300128,719,3214.300569
322.462649,712,3223.3769
322.004759,717,3232.802827
322.101014,711,3241.668125
321.45725,732,3252.164617
321.564061,730,3261.765359
321.913862,712,3270.875084
322.482096,725,3280.19025
322.189158,708,3290.545689
322.544052,715,3300.143059
322.329289,718,3309.430733
322.672318,720,3318.884529
322.114996,711,3327.984601
321.861111,720,3337.930973
322.309058,717,3346.882112
322.359491,714,3356.083124
-88.253234,122,3357.720019
322.226373,717,3367.486489
321.55205,727,3377.655578
322.41884,713,3387.804981
321.918757,712,3396.821896
322.005387,713,3406.352287
322.784831,708,3415.533182
322.328151,712,3425.531293
322.015875,733,3434.861263
321.98276,728,3445.087184
321.366393,725,3454.730512
322.420336,728,3465.541481
321.426993,718,3474.613736
322.402753,708,3483.878763
321.418443,707,3493.071914
322.696806,704,3502.45868
322.807857,715,3512.110655
